Parameter,Likelihood,Std_Error
-5.0,-2484.979894025845,27.937305619076135
-4.95,-2473.681733721667,23.521537553065684
-4.9,-2473.9178606431096,27.740428935933238
-4.85,-2472.6306421046966,22.617326093321793
-4.8,-2468.805372031771,26.04915736711515
-4.75,-2457.739846034001,29.032749871575128
-4.7,-2465.829716971114,30.072945693861243
-4.65,-2468.789910681387,27.991206442368625
-4.6,-2453.500772231187,31.359984812732083
-4.55,-2455.694888698928,22.630442204521895
-4.5,-2450.7892842041306,29.489991198777602
-4.45,-2442.3031839673567,26.821908099471283
-4.4,-2442.072882489191,25.57270956452479
-4.35,-2439.029558458095,28.952701655731705
-4.3,-2438.7702114190597,25.31369162574139
-4.25,-2428.6862327808212,25.227731331325074
-4.2,-2420.125583263449,27.88973720700269
-4.15,-2426.579417758412,24.15433415100864
-4.1,-2418.3071332439677,25.463081702212847
-4.05,-2415.3494248646784,28.725229961926132
-4.0,-2405.45129873925,26.123631441994455
-3.95,-2411.173357985708,19.574129349583103
-3.9,-2404.9849239887353,18.712189027357105
-3.85,-2397.994876951898,21.595819899341336
-3.8,-2391.9154317233174,21.662974757235652
-3.75,-2388.053029690303,27.109679377638283
-3.7,-2383.9672856094844,24.299715618406463
-3.65,-2383.4251616438123,21.032836285360617
-3.6,-2374.8626374766063,18.44811752489679
-3.55,-2371.8269540919205,24.984644072200158
-3.5,-2366.9175462397047,21.81179132571582
-3.45,-2363.9147010870756,27.290125402393098
-3.4,-2349.2866831298875,27.16874444346326
-3.35,-2346.579152232541,26.07554749159327
-3.3,-2341.8754899617843,24.727657132130474
-3.25,-2343.883883306275,22.072602198581105
-3.2,-2334.6754201509693,22.209484036037605
-3.15,-2338.0830884945203,15.27087332741725
-3.1,-2321.9938570191794,22.442951273246138
-3.05,-2312.711256230836,21.310425101972392
-3.0,-2314.126797417277,18.18658888918556
-2.95,-2306.3874109592043,20.321996513123615
-2.9,-2290.0971032182865,20.655061941475278
-2.85,-2288.2151355817596,21.54213135689248
-2.8,-2286.1361712270127,18.21349776909452
-2.75,-2268.0288738316412,19.365086587810143
-2.7,-2259.70675394148,23.387827585334364
-2.65,-2248.6480612316345,26.083099811019363
-2.6,-2248.4084798607573,22.704220763908996
-2.55,-2231.3419337771234,23.89882783079195
-2.5,-2226.297063782233,15.647091406704261
-2.45,-2218.210744645152,23.39071019081945
-2.4,-2193.7655504754384,26.662391408854734
-2.35,-2187.7349079616456,17.711829545904113
-2.3,-2171.7060889484587,24.057630558884338
-2.25,-2149.32018595126,21.620395067799873
-2.2,-2136.428111653151,23.89493345044296
-2.15,-2114.878752555591,27.869022864240335
-2.1,-2092.4812675025473,25.227768294746344
-2.05,-2065.1068577974315,23.715285690885413
-2.0,-2030.5098265767053,25.24933030336652
-1.95,-1999.3501569265025,21.297988061614795
-1.9,-1948.0822784643033,38.53266402285806
-1.85,-1901.711558928896,31.730451627936144
-1.8,-1840.8153558005301,38.91407765720014
-1.75,-1774.052510413781,49.81875333130655
-1.7,-1689.1688676663264,51.428587749709216
-1.65,-1590.3108972645089,59.72826894038933
-1.6,-1467.666727111208,66.99184495677702
-1.55,-1302.0424446805994,95.21583748510476
-1.5,-1126.9538435930842,92.65987564800056
-1.45,-899.6664127662775,99.92926497543225
-1.4,-641.8591237436425,107.39826066031246
-1.35,-401.4084218368977,88.20129713127997
-1.3,-146.78118089902372,79.15148734150931
-1.25,-1.6936984754240012,23.99599970789192
-1.2,35.50219269941999,0.8075816538770243
-1.15,39.99891996749916,0.22688704613580649
-1.1,41.68923746487565,0.13940776644631314
-1.05,40.45496714783747,0.24207731422898518
-1.0,35.962998929192835,1.1553422612493984
