Parameter,Likelihood,Std_Error
5.0,-932.9368642207518,85.27450590386042
5.1,-913.9897777955167,63.68266873892069
5.2,-875.3236749082772,84.77295337786214
5.3,-859.3615987662846,75.83250475521669
5.4,-865.463102126637,89.83006763423165
5.5,-829.5453790916218,87.08314346383642
5.6,-790.6820201997482,83.26227602627486
5.7,-750.8572986850303,109.87844184029815
5.8,-769.4623868187564,87.12109183801083
5.9,-749.5956912853023,109.11196473657586
6.0,-733.4046435506057,80.70684621988207
6.1,-718.466469103666,99.92133826084034
6.2,-700.611375523922,71.90918779288953
6.3,-667.2283923161835,88.34765353246507
6.4,-646.8640223025802,89.68693727740146
6.5,-630.5334239535385,92.99995528927202
6.6,-608.5832498845065,83.71172480024478
6.7,-601.0585022494154,100.29629527140213
6.8,-597.4993136353332,72.9603519437504
6.9,-557.9827436592899,89.81855272079476
7.0,-558.0046025102947,88.3080763184647
7.1,-524.4768380671974,94.0633822458758
7.2,-505.7981063346821,89.80750976185577
7.3,-513.722168004259,84.40037399129153
7.4,-473.20221645127066,83.56316246625862
7.5,-447.87964377647717,87.6167859990322
7.6,-445.70454590897447,73.22303778266051
7.7,-401.2408467894817,89.39369154876204
7.8,-408.3694177261452,90.914453313624
7.9,-366.4568577421227,85.92585542919893
8.0,-354.2239330028006,75.57703081405455
8.1,-341.4434535044977,80.424803874791
8.2,-311.3460153843672,89.44060086828543
8.3,-318.1374218923174,76.46696743360144
8.4,-318.9174459346571,85.45762282336867
8.5,-282.92693257530044,90.63458670693852
8.6,-264.3103680050519,84.40414384649141
8.7,-239.7177119584407,75.60520541433695
8.8,-216.43993411463717,61.15791587237215
8.9,-232.7222993089124,83.97688730319034
9.0,-221.46948329490078,72.14952944018694
9.1,-207.3527379211317,70.42417867275694
9.2,-187.6098749514797,76.19991321190419
9.3,-173.13527022923736,74.90914053309768
9.4,-173.0833663573138,63.41212357855258
9.5,-149.31941203640497,64.48870280574282
9.6,-138.44562886045432,57.01384828420602
9.7,-123.34635898698812,58.54494176895974
9.8,-100.70535378899218,51.557281741053
9.9,-107.91676759437586,61.41082639164164
10.0,-90.78528055871234,51.7612795822543
10.1,-88.54841543335074,53.0626251694722
10.2,-69.65974695947067,48.98386758207988
10.3,-67.29513680735826,40.1251319288886
10.4,-58.87854259908288,43.85648699416461
10.5,-43.912214773065465,38.357661155562816
10.6,-37.73706966100877,34.2866964380794
10.7,-32.431684745149624,33.01623474651862
10.8,-20.143813735348655,35.3182326304316
10.9,-19.591850563022987,30.70261480419508
11.0,-13.039805864127327,27.782962472882623
11.1,-6.567765070616067,21.527830287226706
11.2,-6.862310070969969,23.402081127988197
11.3,5.491538580319063,17.46932915392285
11.4,1.0946594991729552,21.18101637389831
11.5,9.597765174431826,12.528852010288587
11.6,13.05386749945787,14.069732187191848
11.7,16.023353917238015,11.104560184283194
