Parameter,Likelihood
"(15.0, 3.0, 0.05)",35.49339656379903
"(16.0, 3.0, 0.05)",32.56708509246621
"(17.0, 3.0, 0.05)",29.12312997622874
"(18.0, 3.0, 0.05)",30.99833190129838
"(19.0, 3.0, 0.05)",23.973865342192386
"(15.0, 4.0, 0.05)",29.689969195170814
"(16.0, 4.0, 0.05)",33.63226129468802
"(17.0, 4.0, 0.05)",22.919324931558876
"(18.0, 4.0, 0.05)",36.9571379329972
"(19.0, 4.0, 0.05)",37.654556502744384
"(15.0, 5.0, 0.05)",16.293966967965606
"(16.0, 5.0, 0.05)",34.629708793496675
"(17.0, 5.0, 0.05)",37.860915048220804
"(18.0, 5.0, 0.05)",37.779601997877585
"(19.0, 5.0, 0.05)",33.312244654246115
"(15.0, 6.0, 0.05)",28.018473652341175
"(16.0, 6.0, 0.05)",33.76862412856125
"(17.0, 6.0, 0.05)",30.772070223956195
"(18.0, 6.0, 0.05)",35.930385962121214
"(19.0, 6.0, 0.05)",36.04191012078269
"(15.0, 7.0, 0.05)",15.172635725180372
"(16.0, 7.0, 0.05)",19.651908564741813
"(17.0, 7.0, 0.05)",23.3204994615946
"(18.0, 7.0, 0.05)",37.58716535031356
"(19.0, 7.0, 0.05)",33.96283871645123
"(15.0, 3.0, 0.06)",35.41336096712934
"(16.0, 3.0, 0.06)",33.134605420291635
"(17.0, 3.0, 0.06)",22.16427759656953
"(18.0, 3.0, 0.06)",0.09970708955529783
"(19.0, 3.0, 0.06)",0.7916127337687495
"(15.0, 4.0, 0.06)",34.663596968454115
"(16.0, 4.0, 0.06)",28.02376478892274
"(17.0, 4.0, 0.06)",25.885864687801753
"(18.0, 4.0, 0.06)",20.85766175296186
"(19.0, 4.0, 0.06)",11.951855658761179
"(15.0, 5.0, 0.06)",38.765411928817876
"(16.0, 5.0, 0.06)",38.303888712612746
"(17.0, 5.0, 0.06)",25.2511391617028
"(18.0, 5.0, 0.06)",34.87814151486857
"(19.0, 5.0, 0.06)",24.637439016400574
"(15.0, 6.0, 0.06)",36.72476840439365
"(16.0, 6.0, 0.06)",34.07333848141318
"(17.0, 6.0, 0.06)",38.91915527691907
"(18.0, 6.0, 0.06)",32.81083976214125
"(19.0, 6.0, 0.06)",35.596965963236826
"(15.0, 7.0, 0.06)",37.116438011103455
"(16.0, 7.0, 0.06)",36.55450272199133
"(17.0, 7.0, 0.06)",35.817225876344025
"(18.0, 7.0, 0.06)",38.39971193145892
"(19.0, 7.0, 0.06)",29.026796088379083
"(15.0, 3.0, 0.07)",-0.3891898966418985
"(16.0, 3.0, 0.07)",5.69983045114674
"(17.0, 3.0, 0.07)",-27.17605522582813
"(18.0, 3.0, 0.07)",-21.90221946024452
"(19.0, 3.0, 0.07)",-57.27346122795743
"(15.0, 4.0, 0.07)",13.610888960071723
"(16.0, 4.0, 0.07)",8.583752779340093
"(17.0, 4.0, 0.07)",23.80740590137824
"(18.0, 4.0, 0.07)",-14.246317785166028
"(19.0, 4.0, 0.07)",-25.580700441327526
"(15.0, 5.0, 0.07)",31.373673415088213
"(16.0, 5.0, 0.07)",35.646769283631755
"(17.0, 5.0, 0.07)",32.58334076619639
"(18.0, 5.0, 0.07)",14.367640175975222
"(19.0, 5.0, 0.07)",1.4672217780643404
"(15.0, 6.0, 0.07)",37.43990740177576
"(16.0, 6.0, 0.07)",34.69574952571946
"(17.0, 6.0, 0.07)",25.67149273526451
"(18.0, 6.0, 0.07)",13.14971509541304
"(19.0, 6.0, 0.07)",13.974394233608269
"(15.0, 7.0, 0.07)",38.058964080206444
"(16.0, 7.0, 0.07)",39.96394594580477
"(17.0, 7.0, 0.07)",32.911928952584304
"(18.0, 7.0, 0.07)",35.17079417427439
"(19.0, 7.0, 0.07)",25.523540286838156
"(15.0, 3.0, 0.08)",-20.55180867907215
"(16.0, 3.0, 0.08)",-1.785016727750012
"(17.0, 3.0, 0.08)",-104.65295520927813
"(18.0, 3.0, 0.08)",-235.83863784804976
"(19.0, 3.0, 0.08)",-162.06434156829914
"(15.0, 4.0, 0.08)",9.134256089865413
"(16.0, 4.0, 0.08)",12.088510746251583
"(17.0, 4.0, 0.08)",-9.037770879543151
"(18.0, 4.0, 0.08)",-90.34152545482581
"(19.0, 4.0, 0.08)",-53.2576353806853
"(15.0, 5.0, 0.08)",12.584335616883884
"(16.0, 5.0, 0.08)",24.836603602169497
"(17.0, 5.0, 0.08)",11.99835020543437
"(18.0, 5.0, 0.08)",-27.661024709203645
"(19.0, 5.0, 0.08)",-108.23722581024543
"(15.0, 6.0, 0.08)",21.269285834758183
"(16.0, 6.0, 0.08)",13.144812378024106
"(17.0, 6.0, 0.08)",27.16299441877354
"(18.0, 6.0, 0.08)",-8.310860966325276
"(19.0, 6.0, 0.08)",-1.6463724784013465
"(15.0, 7.0, 0.08)",29.327459891378005
"(16.0, 7.0, 0.08)",29.134310474909995
"(17.0, 7.0, 0.08)",2.7652211421466824
"(18.0, 7.0, 0.08)",6.99766009787772
"(19.0, 7.0, 0.08)",6.200873037232008
"(15.0, 3.0, 0.09)",-175.8347192687168
"(16.0, 3.0, 0.09)",-60.22683698273339
"(17.0, 3.0, 0.09)",-349.0304547903015
"(18.0, 3.0, 0.09)",-200.33902254904118
"(19.0, 3.0, 0.09)",-804.4792564962022
"(15.0, 4.0, 0.09)",-77.99805495652922
"(16.0, 4.0, 0.09)",-88.2174947806719
"(17.0, 4.0, 0.09)",-172.06985619842516
"(18.0, 4.0, 0.09)",-192.2471004069421
"(19.0, 4.0, 0.09)",-403.85130560734353
"(15.0, 5.0, 0.09)",-11.05095423173001
"(16.0, 5.0, 0.09)",-3.250606049242047
"(17.0, 5.0, 0.09)",-80.66048674666418
"(18.0, 5.0, 0.09)",-125.42767659943763
"(19.0, 5.0, 0.09)",-412.74264699302023
"(15.0, 6.0, 0.09)",-6.284108534688481
"(16.0, 6.0, 0.09)",23.579828762326603
"(17.0, 6.0, 0.09)",-115.71200541707381
"(18.0, 6.0, 0.09)",-257.4594754293292
"(19.0, 6.0, 0.09)",-129.45884293234428
"(15.0, 7.0, 0.09)",-2.856122357855983
"(16.0, 7.0, 0.09)",25.09157068295863
"(17.0, 7.0, 0.09)",-33.366176287261865
"(18.0, 7.0, 0.09)",-92.8745531590555
"(19.0, 7.0, 0.09)",-246.72985376173727
